order_134,order_135,order_13,order_16,order_141,order_143,order_146,order_147,order_164,order_150,order_152,order_153,order_155,order_157,order_159,order_131,order_132,order_133,order_137,order_139,order_10,order_128,order_129,order_130,order_1,order_4,order_7,order_162,order_127,order_136,order_142,order_144,order_145,order_148,order_163,order_149,order_151,order_154,order_156,order_158,order_160,order_138,order_140,order_161,gene
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,petN_1
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,68,68,68,68,68,68,68,68,68,68,68,68,68,68,psaA_1
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,69,69,69,69,69,69,69,69,69,69,69,69,69,69,psaB_1
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,76,12,12,12,12,12,12,12,12,12,12,12,12,12,12,psaC_1
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,58,58,58,58,58,58,58,58,58,58,58,58,58,58,psaI_1
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,48,48,48,48,48,48,48,48,48,48,48,48,48,48,psaJ_1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88,88,88,88,88,88,88,88,88,88,88,88,88,88,psbA_1
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,41,41,41,41,41,41,41,41,41,41,41,41,41,41,psbB_1
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,72,72,72,72,72,72,72,72,72,72,72,72,72,72,psbC_1
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,73,73,73,73,73,73,73,73,73,73,73,73,73,73,psbD_1
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,51,51,51,51,51,51,51,51,51,51,51,51,51,51,psbE_1
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,52,52,52,52,52,52,52,52,52,52,52,52,52,52,psbF_1
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,52,38,38,38,38,38,38,38,38,38,38,38,38,38,38,psbH_1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,84,84,84,84,84,84,84,84,84,84,84,84,84,84,psbI_1
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,54,54,54,54,54,54,54,54,54,54,54,54,54,54,psbJ_1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,85,85,85,85,85,85,85,85,85,85,85,85,85,85,psbK_1
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,53,53,53,53,53,53,53,53,53,53,53,53,53,53,psbL_1
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,74,74,74,74,74,74,74,74,74,74,74,74,74,74,psbM_1
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,40,40,40,40,40,40,40,40,40,40,40,40,40,40,psbT_1
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,71,71,71,71,71,71,71,71,71,71,71,71,71,71,psbZ_1
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,60,60,60,60,60,60,60,60,60,60,60,60,60,60,rbcL_1
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,30,30,30,30,30,30,30,30,30,30,30,30,30,30,rpl14_1
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,29,29,29,29,29,29,29,29,29,29,29,29,29,29,rpl16_1
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,65,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,rpl2-fragment_1
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,NA,88,88,NA,88,89,89,25,25,25,25,25,25,25,25,25,25,25,25,25,25,rpl20_1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rpl22_1
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,rpl23_1
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63,63,27,27,27,27,27,27,27,27,27,27,27,27,27,27,rpl23_2
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,2,2,2,2,2,2,2,2,2,2,2,2,2,2,rpl2_1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,88,24,24,24,24,24,24,24,24,24,24,24,24,24,24,rpl2_2
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,73,9,9,9,9,9,9,9,9,9,9,9,9,9,9,rpl32_1
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,47,47,47,47,47,47,47,47,47,47,47,47,47,47,rpl33_1
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,57,33,33,33,33,33,33,33,33,33,33,33,33,33,33,rpl36_1
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,35,35,35,35,35,35,35,35,35,35,35,35,35,35,rpoA_1
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,76,76,76,76,76,76,76,76,76,76,76,76,76,76,rpoB_1
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,77,77,77,77,77,77,77,77,77,77,77,77,77,77,rpoC1_1
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,78,78,78,78,78,78,78,78,78,78,78,78,78,78,rpoC2_1
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,34,34,34,34,34,34,34,34,34,34,34,34,34,34,rps11_1
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,6,6,6,6,6,6,6,6,6,6,6,6,6,6,rps12_1
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,20,20,20,20,20,20,20,20,20,20,20,20,20,20,rps12_2
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,43,43,43,43,43,43,43,43,43,43,43,43,43,43,rps12_3
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,84,84,44,44,44,44,44,44,44,44,44,44,44,44,44,44,rps12_4
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,70,70,70,70,70,70,70,70,70,70,70,70,70,70,rps14_1
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,82,18,18,18,18,18,18,18,18,18,18,18,18,18,18,rps15_1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,86,86,86,86,86,86,86,86,86,86,86,86,86,86,rps16_1
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,46,46,46,46,46,46,46,46,46,46,46,46,46,46,rps18_1
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,26,26,26,26,26,26,26,26,26,26,26,26,26,26,rps19_1
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,79,79,79,79,79,79,79,79,79,79,79,79,79,79,rps2_1
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,62,28,28,28,28,28,28,28,28,28,28,28,28,28,28,rps3_1
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,66,66,66,66,66,66,66,66,66,66,66,66,66,66,rps4_1
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,69,5,5,5,5,5,5,5,5,5,5,5,5,5,5,rps7_1
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,85,21,21,21,21,21,21,21,21,21,21,21,21,21,21,rps7_2
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,31,31,31,31,31,31,31,31,31,31,31,31,31,31,rps8_1
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,19,19,19,19,19,19,19,19,19,19,19,19,19,19,ycf1-fragment_1
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71,7,7,7,7,7,7,7,7,7,7,7,7,7,7,ycf1_1
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ycf2_1
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,23,23,23,23,23,23,23,23,23,23,23,23,23,23,ycf2_2
